date,Mauna Loa CO2,HOT pCO2,BATS pCO2,ESTOC pCO2,HOT pH,BATS pH,ESTOC pH
3/12/1998,,,321.880725,,,8.132247811,
3/15/1998,367.03,,,,,,
3/18/1998,,337.2,,,8.1044,,
3/25/1998,,,,354.42,,,8.101864507
4/7/1998,,,,353.62,,,8.102781594
4/7/1998,,,331.7422811,,,8.121651046,
4/15/1998,,335.4,,,8.1078,,
4/15/1998,368.38,,,,,,
4/25/1998,,,,348,,,8.10891685
5/5/1998,,,332.5311962,,,8.12076824,
5/13/1998,,338.1,,,8.105,,
5/15/1998,369.2,,,,,,
5/20/1998,,,,358.62,,,8.097907856
6/15/1998,368.81,,,,,,
6/17/1998,,348.7,,,8.0937,,
6/25/1998,,,,367.26,,,8.088100941
7/2/1998,,,,370.47,,,8.084968588
7/7/1998,,,410.1903384,,,8.03689039,
7/15/1998,,361.6,,,8.0805,,
7/15/1998,367.61,,,,,,
8/10/1998,,358.5,,,8.0818,,
8/11/1998,,,421.1354971,,,8.026699062,
8/15/1998,365.31,,,,,,
9/10/1998,,,400.6742321,,,8.043508754,
9/15/1998,364.16,,,,,,
9/28/1998,,365.5,,,8.076,,
9/28/1998,,,,387.44,,,8.067573148
10/7/1998,,,,389.69,,,8.065269868
10/15/1998,364.03,,,,,,
10/19/1998,,359,,,8.0818,,
10/22/1998,,,351.9142812,,,8.0938311,
11/11/1998,,359.6,,,8.0825,,
11/15/1998,365.6,,,,,,
11/17/1998,,,342.3519596,,,8.106061676,
11/18/1998,,,,363.64,,,8.090878415
12/8/1998,,,331.228369,,,8.119864281,
12/9/1998,,347.8,,,8.0948,,
12/15/1998,367.47,,,,,,
12/16/1998,,,,346.1,,,8.109942934
1/13/1999,,352.7,,,8.0895,,
1/15/1999,,,333.5139536,,,8.11681041,
1/15/1999,367.91,,,,,,
2/2/1999,,,,333.73,,,8.123658533
2/5/1999,,,,324.06,,,8.134203251
2/15/1999,368.36,,,,,,
2/17/1999,,,,323.76,,,8.134325872
2/18/1999,,344.5,,,8.0997,,
3/15/1999,369.27,,,,,,
3/17/1999,,311.8,,,8.135,,
3/20/1999,,,,333.3,,,8.123634062
4/7/1999,,,333.0417793,,,8.119827037,
4/14/1999,,323.7,,,8.123,,
4/15/1999,371.01,,,,,,
5/4/1999,,,346.8499909,,,8.104888845,
5/10/1999,,345,,,8.1,,
5/15/1999,370.82,,,,,,
6/15/1999,370.49,,,,,,
7/14/1999,,345.9,,,8.0938,,
7/15/1999,369.32,,,,,,
8/13/1999,,365.4,,,8.0759,,
8/15/1999,366.72,,,,,,
9/15/1999,364.64,,,,,,
10/15/1999,,368.5,,,8.0711,,
10/15/1999,365.06,,,,,,
10/23/1999,,,,386.45,,,8.068408156
11/3/1999,,,,375.65,,,8.078002897
11/9/1999,,359.7,,,8.0824,,
11/15/1999,366.64,,,,,,
12/15/1999,,359.5,,,8.0818,,
12/15/1999,368.32,,,,,,
1/15/2000,369.61,,,,,,
1/24/2000,,,,328.66,,,8.128146512
1/31/2000,,,,336.24,,,8.120866041
2/3/2000,,346.3,,,8.0966,,
2/15/2000,,,319.3071131,,,8.135452132,
2/15/2000,369.97,,,,,,
3/1/2000,,347.6,,,8.0946,,
3/12/2000,,,,343.8,,,8.113506908
3/14/2000,,,311.7050977,,,8.144839867,
3/15/2000,370.63,,,,,,
3/29/2000,,348.6,,,8.0942,,
4/3/2000,,,,350.27,,,8.106547648
4/11/2000,,,313.8615572,,,8.142314358,
4/15/2000,372.03,,,,,,
4/26/2000,,346.5,,,8.0941,,
5/15/2000,371.58,,,,,,
5/25/2000,,371.1,,,8.0677,,
6/15/2000,371.56,,,,,,
6/21/2000,,358.4,,,8.0831,,
7/11/2000,,,380.9936254,,,8.066105958,
7/15/2000,,,,372.96,,,8.082420076
7/15/2000,370.05,,,,,,
7/26/2000,,354.3,,,8.0872,,
8/8/2000,,,416.0373882,,,8.032643271,
8/15/2000,368.13,,,,,,
8/23/2000,,359.1,,,8.0827,,
8/26/2000,,,,379.55,,,8.075546974
9/13/2000,,,372.257653,,,8.07136055,
9/15/2000,366.94,,,,,,
9/17/2000,,,,382.49,,,8.073118306
10/15/2000,367.14,,,,,,
10/18/2000,,373.2,,,8.0678,,
11/14/2000,,,339.8113059,,,8.110396767,
11/15/2000,368.46,,,,,,
11/19/2000,,,,358.32,,,8.097797787
11/29/2000,,,,365.4,,,8.090827485
11/30/2000,,346,,,8.095,,
12/15/2000,369.85,,,,,,
12/20/2000,,347.5,,,8.0922,,
1/15/2001,370.94,,,,,,
1/17/2001,,348.1,,,8.0929,,
1/25/2001,,,,356.88,,,8.09931999
1/30/2001,,,316.3970345,,,8.139361112,
2/14/2001,,353.9,,,8.0881,,
2/15/2001,371.49,,,,,,
2/19/2001,,,,357.65,,,8.098510875
2/21/2001,,,,354.65,,,8.101521357
3/15/2001,372.56,,,,,,
3/21/2001,,350.8,,,8.0894,,
3/23/2001,,,,354.57,,,8.101775177
3/28/2001,,,,350.53,,,8.105715963
4/4/2001,,,353.3506828,,,8.09715581,
4/15/2001,373.35,,,,,,
4/18/2001,,347.7,,,8.0938,,
4/23/2001,,,,351.72,,,8.104483144
5/15/2001,374.34,,,,,,
5/16/2001,,347.7,,,8.0948,,
5/17/2001,,,,352.88,,,8.10285126
6/5/2001,,,363.8400343,,,8.087389844,
6/14/2001,,344.1,,,8.0984,,
6/15/2001,373.67,,,,,,
6/28/2001,,,,372.97,,,8.081642043
7/11/2001,,353.8,,,8.0857,,
7/15/2001,371.49,,,,,,
7/18/2001,,,372.7338266,,,8.074538396,
8/8/2001,,364.7,,,8.0757,,
8/15/2001,369.58,,,,,,
8/31/2001,,,,397.92,,,8.057567304
9/12/2001,,,380.8598435,,,8.065853213,
9/15/2001,368.04,,,,,,
9/27/2001,,,,402.27,,,8.053965866
10/2/2001,,372.1,,,8.068,,
10/10/2001,,,,394.13,,,8.060272471
10/15/2001,368.25,,,,,,
10/16/2001,,,355.4304631,,,8.092611344,
10/23/2001,,353.9,,,8.0885,,
11/15/2001,369.9,,,,,,
11/17/2001,,358.5,,,8.0814,,
12/11/2001,,,331.2001409,,,8.120931468,
12/14/2001,,349.4,,,8.0925,,
12/15/2001,371.36,,,,,,
1/15/2002,372.01,,,,,,
1/16/2002,,347,,,8.0959,,
2/15/2002,372.62,,,,,,
2/21/2002,,335.9,,,8.108,,
2/27/2002,,,,347.31,,,8.108767055
2/27/2002,,,315.4895089,,,8.141271058,
3/5/2002,,,,346.03,,,8.111068104
3/13/2002,,336.8,,,8.1085,,
3/15/2002,373.88,,,,,,
4/15/2002,,,,345.48,,,8.111572712
4/15/2002,374.58,,,,,,
4/16/2002,,,316.8580529,,,8.139239791,
